2009.05.05 05:41:10,GPSD=050509,GPST=054109.000,LAT=6723.6388,NS=N,LONG=2636.8107,EW=E,T=17.96,U=26.9,T1=25.238,T2=25.048,T3=25.082,T4=25.537,UVB1=0.000,UVB2=0.000,UVB3=0.001,UVB4=0.010,SR4=9.952,SR5=9.952,SR6=10.718,SR7=10.718,AntHeight=210,GeoidHeight=22
2009.05.05 06:20:00,GPSD=050509,GPST=061959.000,LAT=6723.6348,NS=N,LONG=2636.8496,EW=E,T=2.87,U=78.5,T1=24.956,T2=24.826,T3=25.116,T4=25.293,UVB1=0.085,UVB2=0.002,UVB3=0.062,UVB4=0.010,SR4=750.996,SR5=68.133,SR6=973.003,SR7=100.286,AntHeight=176,GeoidHeight=22
2009.05.05 06:20:10,GPSD=050509,GPST=062009.000,LAT=6723.6345,NS=N,LONG=2636.8499,EW=E,T=2.89,U=78.1,T1=24.998,T2=25.093,T3=25.139,T4=25.018,UVB1=0.085,UVB2=0.003,UVB3=0.051,UVB4=0.001,SR4=785.446,SR5=71.195,SR6=999.797,SR7=101.817,AntHeight=178,GeoidHeight=22
2009.05.05 06:20:20,GPSD=050509,GPST=062019.000,LAT=6723.6347,NS=N,LONG=2636.8508,EW=E,T=2.89,U=77.5,T1=25.036,T2=25.284,T3=25.154,T4=25.018,UVB1=0.086,UVB2=0.002,UVB3=0.065,UVB4=0.002,SR4=809.178,SR5=75.789,SR6=1018.936,SR7=124.018,AntHeight=179,GeoidHeight=22
2009.05.05 06:20:30,GPSD=050509,GPST=062029.000,LAT=6723.6344,NS=N,LONG=2636.8458,EW=E,T=2.89,U=77.9,T1=25.025,T2=25.021,T3=25.173,T4=24.866,UVB1=0.085,UVB2=0.002,UVB3=0.077,UVB4=0.002,SR4=830.613,SR5=77.320,SR6=1108.504,SR7=141.625,AntHeight=176,GeoidHeight=22
2009.05.05 06:20:40,GPSD=050509,GPST=062039.000,LAT=6723.6349,NS=N,LONG=2636.8441,EW=E,T=2.89,U=77.8,T1=24.845,T2=24.880,T3=25.463,T4=25.537,UVB1=0.087,UVB2=0.003,UVB3=0.077,UVB4=0.012,SR4=824.488,SR5=78.085,SR6=1089.366,SR7=139.329,AntHeight=174,GeoidHeight=22
2009.05.05 06:20:50,GPSD=050509,GPST=062049.000,LAT=6723.6321,NS=N,LONG=2636.8405,EW=E,T=2.89,U=77.6,T1=25.017,T2=25.208,T3=24.967,T4=24.805,UVB1=0.087,UVB2=0.004,UVB3=0.078,UVB4=0.004,SR4=800.757,SR5=144.687,SR6=1136.064,SR7=140.094,AntHeight=184,GeoidHeight=22
2009.05.05 06:21:00,GPSD=050509,GPST=062059.000,LAT=6723.6974,NS=N,LONG=2636.9399,EW=E,T=2.83,U=77.3,T1=24.895,T2=25.227,T3=24.872,T4=24.713,UVB1=0.079,UVB2=0.003,UVB3=0.080,UVB4=0.002,SR4=759.417,SR5=202.103,SR6=1195.011,SR7=182.964,AntHeight=214,GeoidHeight=22
2009.05.05 06:21:10,GPSD=050509,GPST=062109.000,LAT=6723.8550,NS=N,LONG=2637.1575,EW=E,T=2.77,U=77.0,T1=24.899,T2=24.826,T3=24.865,T4=25.262,UVB1=0.080,UVB2=0.002,UVB3=0.078,UVB4=0.010,SR4=757.886,SR5=211.290,SR6=1149.844,SR7=191.385,AntHeight=234,GeoidHeight=22
2009.05.05 06:21:20,GPSD=050509,GPST=062119.000,LAT=6724.0521,NS=N,LONG=2637.3346,EW=E,T=2.63,U=76.7,T1=24.967,T2=25.078,T3=24.865,T4=24.988,UVB1=0.077,UVB2=0.004,UVB3=0.085,UVB4=0.004,SR4=707.361,SR5=233.490,SR6=1207.259,SR7=207.462,AntHeight=260,GeoidHeight=22
2009.05.05 06:21:30,GPSD=050509,GPST=062129.000,LAT=6724.2848,NS=N,LONG=2637.3604,EW=E,T=2.52,U=77.0,T1=25.006,T2=25.273,T3=24.861,T4=24.988,UVB1=0.081,UVB2=0.002,UVB3=0.085,UVB4=0.002,SR4=702.767,SR5=281.719,SR6=1402.472,SR7=256.456,AntHeight=280,GeoidHeight=22
2009.05.05 06:21:40,GPSD=050509,GPST=062139.000,LAT=6724.5195,NS=N,LONG=2637.3502,EW=E,T=2.42,U=76.8,T1=25.032,T2=25.032,T3=24.865,T4=24.835,UVB1=0.084,UVB2=0.002,UVB3=0.079,UVB4=0.002,SR4=679.035,SR5=213.586,SR6=1232.522,SR7=199.806,AntHeight=306,GeoidHeight=22
2009.05.05 06:21:50,GPSD=050509,GPST=062149.000,LAT=6724.7519,NS=N,LONG=2637.3719,EW=E,T=2.22,U=77.6,T1=25.048,T2=24.865,T3=24.872,T4=24.744,UVB1=0.084,UVB2=0.003,UVB3=0.080,UVB4=0.002,SR4=644.586,SR5=167.654,SR6=1093.959,SR7=149.281,AntHeight=324,GeoidHeight=22
2009.05.05 06:22:00,GPSD=050509,GPST=062159.000,LAT=6724.9890,NS=N,LONG=2637.3781,EW=E,T=2.07,U=77.6,T1=25.021,T2=25.158,T3=24.918,T4=25.262,UVB1=0.084,UVB2=0.003,UVB3=0.081,UVB4=0.011,SR4=668.318,SR5=179.902,SR6=1108.504,SR7=160.764,AntHeight=345,GeoidHeight=22
2009.05.05 06:22:10,GPSD=050509,GPST=062209.000,LAT=6725.2410,NS=N,LONG=2637.3586,EW=E,T=1.95,U=78.0,T1=25.025,T2=25.235,T3=24.926,T4=24.988,UVB1=0.084,UVB2=0.003,UVB3=0.075,UVB4=0.003,SR4=653.007,SR5=171.481,SR6=930.899,SR7=150.046,AntHeight=363,GeoidHeight=22
2009.05.05 06:22:20,GPSD=050509,GPST=062219.000,LAT=6725.5018,NS=N,LONG=2637.3506,EW=E,T=1.78,U=78.6,T1=25.017,T2=24.887,T3=24.937,T4=24.957,UVB1=0.084,UVB2=0.003,UVB3=0.072,UVB4=0.002,SR4=649.945,SR5=173.778,SR6=811.474,SR7=157.702,AntHeight=364,GeoidHeight=22
2009.05.05 06:22:30,GPSD=050509,GPST=062229.000,LAT=6725.7565,NS=N,LONG=2637.3634,EW=E,T=1.70,U=78.9,T1=25.006,T2=24.929,T3=24.948,T4=24.896,UVB1=0.089,UVB2=0.003,UVB3=0.076,UVB4=0.002,SR4=659.897,SR5=159.233,SR6=827.551,SR7=145.453,AntHeight=360,GeoidHeight=22
2009.05.05 06:22:40,GPSD=050509,GPST=062239.000,LAT=6726.0002,NS=N,LONG=2637.3937,EW=E,T=1.56,U=78.9,T1=24.994,T2=25.189,T3=24.964,T4=24.713,UVB1=0.094,UVB2=0.002,UVB3=0.091,UVB4=0.001,SR4=662.194,SR5=152.343,SR6=1053.385,SR7=142.391,AntHeight=356,GeoidHeight=22
2009.05.05 06:22:50,GPSD=050509,GPST=062249.000,LAT=6726.2429,NS=N,LONG=2637.4221,EW=E,T=1.44,U=79.5,T1=24.983,T2=25.189,T3=24.975,T4=24.713,UVB1=0.089,UVB2=0.004,UVB3=0.089,UVB4=0.005,SR4=603.247,SR5=173.012,SR6=1048.792,SR7=157.702,AntHeight=357,GeoidHeight=22
2009.05.05 06:23:00,GPSD=050509,GPST=062259.000,LAT=6726.4912,NS=N,LONG=2637.4406,EW=E,T=1.37,U=81.4,T1=24.971,T2=24.845,T3=24.998,T4=25.232,UVB1=0.087,UVB2=0.003,UVB3=0.080,UVB4=0.012,SR4=603.247,SR5=180.668,SR6=1031.950,SR7=171.481,AntHeight=364,GeoidHeight=22
2009.05.05 06:23:10,GPSD=050509,GPST=062309.000,LAT=6726.7424,NS=N,LONG=2637.4506,EW=E,T=1.29,U=82.2,T1=24.964,T2=24.922,T3=25.021,T4=25.385,UVB1=0.086,UVB2=0.005,UVB3=0.085,UVB4=0.005,SR4=616.261,SR5=183.730,SR6=1109.270,SR7=186.792,AntHeight=366,GeoidHeight=22
2009.05.05 06:23:20,GPSD=050509,GPST=062319.000,LAT=6726.9902,NS=N,LONG=2637.4618,EW=E,T=1.19,U=83.1,T1=24.952,T2=25.173,T3=25.036,T4=24.988,UVB1=0.084,UVB2=0.002,UVB3=0.074,UVB4=0.002,SR4=673.677,SR5=188.323,SR6=809.178,SR7=184.496,AntHeight=367,GeoidHeight=22
2009.05.05 06:23:30,GPSD=050509,GPST=062329.000,LAT=6727.2394,NS=N,LONG=2637.4729,EW=E,T=1.15,U=83.6,T1=24.948,T2=25.189,T3=25.055,T4=24.927,UVB1=0.083,UVB2=0.004,UVB3=0.078,UVB4=0.004,SR4=725.734,SR5=181.433,SR6=904.870,SR7=175.309,AntHeight=369,GeoidHeight=22
2009.05.05 06:23:40,GPSD=050509,GPST=062339.000,LAT=6727.4913,NS=N,LONG=2637.4959,EW=E,T=1.04,U=84.1,T1=24.941,T2=24.880,T3=25.074,T4=24.805,UVB1=0.078,UVB2=0.002,UVB3=0.065,UVB4=0.002,SR4=689.753,SR5=156.171,SR6=874.249,SR7=153.874,AntHeight=366,GeoidHeight=22
2009.05.05 06:23:50,GPSD=050509,GPST=062349.000,LAT=6727.7433,NS=N,LONG=2637.5336,EW=E,T=1.00,U=84.5,T1=24.941,T2=24.857,T3=25.090,T4=24.683,UVB1=0.077,UVB2=0.003,UVB3=0.065,UVB4=0.003,SR4=630.806,SR5=147.750,SR6=796.163,SR7=146.218,AntHeight=359,GeoidHeight=22
2009.05.05 06:24:00,GPSD=050509,GPST=062359.000,LAT=6727.9960,NS=N,LONG=2637.5890,EW=E,T=0.96,U=84.7,T1=24.937,T2=25.116,T3=25.109,T4=24.652,UVB1=0.075,UVB2=0.004,UVB3=0.064,UVB4=0.004,SR4=689.753,SR5=165.357,SR6=789.273,SR7=161.529,AntHeight=350,GeoidHeight=22
2009.05.05 06:24:10,GPSD=050509,GPST=062409.000,LAT=6728.2414,NS=N,LONG=2637.6602,EW=E,T=0.90,U=85.2,T1=24.937,T2=25.212,T3=25.112,T4=25.171,UVB1=0.074,UVB2=0.004,UVB3=0.064,UVB4=0.012,SR4=679.801,SR5=172.247,SR6=822.192,SR7=169.950,AntHeight=342,GeoidHeight=22
2009.05.05 06:24:20,GPSD=050509,GPST=062419.000,LAT=6728.4910,NS=N,LONG=2637.7179,EW=E,T=0.90,U=85.8,T1=24.937,T2=24.990,T3=25.090,T4=25.262,UVB1=0.077,UVB2=0.003,UVB3=0.064,UVB4=0.010,SR4=695.112,SR5=153.874,SR6=803.053,SR7=155.405,AntHeight=338,GeoidHeight=22
2009.05.05 06:24:30,GPSD=050509,GPST=062429.000,LAT=6728.7365,NS=N,LONG=2637.7666,EW=E,T=0.86,U=85.9,T1=24.937,T2=24.781,T3=25.097,T4=24.896,UVB1=0.076,UVB2=0.005,UVB3=0.065,UVB4=0.004,SR4=711.954,SR5=172.247,SR6=846.689,SR7=168.419,AntHeight=335,GeoidHeight=22
2009.05.05 06:24:40,GPSD=050509,GPST=062439.000,LAT=6728.9773,NS=N,LONG=2637.8043,EW=E,T=0.86,U=86.2,T1=24.945,T2=25.021,T3=25.097,T4=24.927,UVB1=0.076,UVB2=0.010,UVB3=0.069,UVB4=0.013,SR4=760.183,SR5=222.773,SR6=986.783,SR7=224.304,AntHeight=334,GeoidHeight=22
2009.05.05 06:24:50,GPSD=050509,GPST=062449.000,LAT=6729.2211,NS=N,LONG=2637.8271,EW=E,T=0.88,U=86.6,T1=24.948,T2=25.193,T3=25.093,T4=24.896,UVB1=0.070,UVB2=0.004,UVB3=0.060,UVB4=0.006,SR4=670.615,SR5=137.032,SR6=839.034,SR7=148.515,AntHeight=339,GeoidHeight=22
2009.05.05 06:25:00,GPSD=050509,GPST=062459.000,LAT=6729.4635,NS=N,LONG=2637.8362,EW=E,T=0.84,U=86.9,T1=24.948,T2=25.139,T3=25.082,T4=24.805,UVB1=0.068,UVB2=0.004,UVB3=0.056,UVB4=0.004,SR4=626.979,SR5=114.066,SR6=771.666,SR7=120.956,AntHeight=339,GeoidHeight=22
2009.05.05 06:25:10,GPSD=050509,GPST=062509.000,LAT=6729.7040,NS=N,LONG=2637.8672,EW=E,T=0.84,U=86.9,T1=24.956,T2=24.845,T3=25.059,T4=24.713,UVB1=0.070,UVB2=0.004,UVB3=0.053,UVB4=0.004,SR4=576.453,SR5=129.377,SR6=594.826,SR7=139.329,AntHeight=342,GeoidHeight=22
2009.05.05 06:25:20,GPSD=050509,GPST=062519.000,LAT=6729.9357,NS=N,LONG=2638.0074,EW=E,T=0.78,U=87.1,T1=24.960,T2=24.857,T3=25.036,T4=24.683,UVB1=0.070,UVB2=0.004,UVB3=0.055,UVB4=0.002,SR4=566.501,SR5=101.817,SR6=564.970,SR7=109.472,AntHeight=337,GeoidHeight=22
2009.05.05 06:25:30,GPSD=050509,GPST=062529.000,LAT=6730.1552,NS=N,LONG=2638.2116,EW=E,T=0.74,U=87.3,T1=24.960,T2=25.120,T3=25.002,T4=24.652,UVB1=0.076,UVB2=0.007,UVB3=0.057,UVB4=0.007,SR4=594.826,SR5=115.597,SR6=585.639,SR7=117.128,AntHeight=331,GeoidHeight=22
2009.05.05 06:25:40,GPSD=050509,GPST=062539.000,LAT=6730.3647,NS=N,LONG=2638.4705,EW=E,T=0.74,U=87.5,T1=24.967,T2=25.204,T3=25.013,T4=25.201,UVB1=0.077,UVB2=0.007,UVB3=0.064,UVB4=0.016,SR4=695.877,SR5=201.337,SR6=751.762,SR7=205.165,AntHeight=323,GeoidHeight=22
2009.05.05 06:25:50,GPSD=050509,GPST=062549.000,LAT=6730.5723,NS=N,LONG=2638.7449,EW=E,T=0.76,U=87.6,T1=24.971,T2=25.055,T3=24.979,T4=25.262,UVB1=0.077,UVB2=0.005,UVB3=0.069,UVB4=0.015,SR4=764.011,SR5=180.668,SR6=943.147,SR7=188.323,AntHeight=305,GeoidHeight=22
2009.05.05 06:26:00,GPSD=050509,GPST=062559.000,LAT=6730.7829,NS=N,LONG=2639.0204,EW=E,T=0.74,U=88.1,T1=24.971,T2=24.792,T3=24.933,T4=25.354,UVB1=0.070,UVB2=0.003,UVB3=0.062,UVB4=0.012,SR4=727.265,SR5=172.247,SR6=915.588,SR7=182.199,AntHeight=302,GeoidHeight=22
2009.05.05 06:26:10,GPSD=050509,GPST=062609.000,LAT=6730.9968,NS=N,LONG=2639.2936,EW=E,T=0.74,U=88.1,T1=24.975,T2=24.926,T3=24.845,T4=24.896,UVB1=0.072,UVB2=0.004,UVB3=0.062,UVB4=0.001,SR4=735.686,SR5=169.185,SR6=891.856,SR7=176.840,AntHeight=302,GeoidHeight=22
2009.05.05 06:26:20,GPSD=050509,GPST=062619.000,LAT=6731.2155,NS=N,LONG=2639.5799,EW=E,T=0.78,U=88.3,T1=24.975,T2=25.139,T3=24.811,T4=24.896,UVB1=0.079,UVB2=0.003,UVB3=0.072,UVB4=0.003,SR4=737.217,SR5=151.577,SR6=956.162,SR7=160.764,AntHeight=304,GeoidHeight=22
2009.05.05 06:26:30,GPSD=050509,GPST=062629.000,LAT=6731.4321,NS=N,LONG=2639.8746,EW=E,T=0.78,U=88.1,T1=25.013,T2=25.204,T3=24.796,T4=24.957,UVB1=0.074,UVB2=0.004,UVB3=0.065,UVB4=0.004,SR4=790.805,SR5=137.798,SR6=998.266,SR7=145.453,AntHeight=305,GeoidHeight=22
2009.05.05 06:26:40,GPSD=050509,GPST=062639.000,LAT=6731.6462,NS=N,LONG=2640.1674,EW=E,T=0.76,U=88.1,T1=25.013,T2=24.990,T3=24.781,T4=24.896,UVB1=0.064,UVB2=0.002,UVB3=0.051,UVB4=0.004,SR4=613.964,SR5=104.114,SR6=675.973,SR7=110.238,AntHeight=312,GeoidHeight=22
2009.05.05 06:26:50,GPSD=050509,GPST=062649.000,LAT=6731.8590,NS=N,LONG=2640.4529,EW=E,T=0.76,U=88.1,T1=25.006,T2=24.788,T3=24.788,T4=24.835,UVB1=0.065,UVB2=0.002,UVB3=0.053,UVB4=0.005,SR4=553.487,SR5=117.128,SR6=611.668,SR7=122.487,AntHeight=324,GeoidHeight=22
2009.05.05 06:27:00,GPSD=050509,GPST=062659.000,LAT=6732.0705,NS=N,LONG=2640.7142,EW=E,T=0.74,U=88.1,T1=24.998,T2=24.983,T3=24.853,T4=24.774,UVB1=0.069,UVB2=0.004,UVB3=0.058,UVB4=0.004,SR4=585.639,SR5=123.252,SR6=679.801,SR7=128.611,AntHeight=324,GeoidHeight=22
2009.05.05 06:27:10,GPSD=050509,GPST=062709.000,LAT=6732.2856,NS=N,LONG=2640.9564,EW=E,T=0.70,U=87.9,T1=24.990,T2=25.181,T3=24.895,T4=24.774,UVB1=0.076,UVB2=0.003,UVB3=0.065,UVB4=0.004,SR4=574.922,SR5=133.204,SR6=764.011,SR7=137.032,AntHeight=323,GeoidHeight=22
2009.05.05 06:27:20,GPSD=050509,GPST=062719.000,LAT=6732.5045,NS=N,LONG=2641.1970,EW=E,T=0.70,U=88.0,T1=24.979,T2=25.189,T3=24.948,T4=25.262,UVB1=0.087,UVB2=0.004,UVB3=0.079,UVB4=0.013,SR4=594.060,SR5=163.060,SR6=877.311,SR7=165.357,AntHeight=326,GeoidHeight=22
2009.05.05 06:27:30,GPSD=050509,GPST=062729.000,LAT=6732.7199,NS=N,LONG=2641.4264,EW=E,T=0.70,U=87.8,T1=24.971,T2=24.945,T3=25.009,T4=25.354,UVB1=0.093,UVB2=0.004,UVB3=0.115,UVB4=0.015,SR4=694.346,SR5=306.982,SR6=1804.382,SR7=305.451,AntHeight=325,GeoidHeight=22
2009.05.05 06:27:40,GPSD=050509,GPST=062739.000,LAT=6732.9330,NS=N,LONG=2641.6549,EW=E,T=0.72,U=87.3,T1=24.960,T2=24.788,T3=25.070,T4=25.415,UVB1=0.092,UVB2=0.005,UVB3=0.100,UVB4=0.013,SR4=761.714,SR5=362.867,SR6=1695.675,SR7=375.115,AntHeight=322,GeoidHeight=22
2009.05.05 06:27:50,GPSD=050509,GPST=062749.000,LAT=6733.1487,NS=N,LONG=2641.8774,EW=E,T=0.72,U=87.2,T1=24.945,T2=25.017,T3=25.082,T4=25.018,UVB1=0.088,UVB2=0.005,UVB3=0.082,UVB4=0.007,SR4=857.407,SR5=277.892,SR6=1293.765,SR7=294.734,AntHeight=319,GeoidHeight=22
2009.05.05 06:28:00,GPSD=050509,GPST=062759.000,LAT=6733.3681,NS=N,LONG=2642.0963,EW=E,T=0.74,U=87.4,T1=24.933,T2=25.193,T3=25.105,T4=25.049,UVB1=0.085,UVB2=0.004,UVB3=0.079,UVB4=0.005,SR4=913.291,SR5=232.725,SR6=1267.737,SR7=244.208,AntHeight=319,GeoidHeight=22
2009.05.05 06:28:10,GPSD=050509,GPST=062809.000,LAT=6733.5889,NS=N,LONG=2642.3082,EW=E,T=0.80,U=87.4,T1=24.918,T2=25.170,T3=25.067,T4=25.018,UVB1=0.079,UVB2=0.004,UVB3=0.065,UVB4=0.004,SR4=755.590,SR5=169.185,SR6=902.574,SR7=181.433,AntHeight=328,GeoidHeight=22
2009.05.05 06:28:20,GPSD=050509,GPST=062819.000,LAT=6733.8077,NS=N,LONG=2642.5072,EW=E,T=0.74,U=87.2,T1=24.876,T2=24.914,T3=24.929,T4=24.957,UVB1=0.089,UVB2=0.004,UVB3=0.072,UVB4=0.005,SR4=597.888,SR5=136.266,SR6=764.776,SR7=142.391,AntHeight=326,GeoidHeight=22
2009.05.05 06:28:30,GPSD=050509,GPST=062829.000,LAT=6734.0279,NS=N,LONG=2642.7067,EW=E,T=0.76,U=87.0,T1=24.868,T2=24.826,T3=24.788,T4=24.835,UVB1=0.095,UVB2=0.005,UVB3=0.078,UVB4=0.006,SR4=587.936,SR5=133.970,SR6=844.392,SR7=140.860,AntHeight=323,GeoidHeight=22
2009.05.05 06:28:40,GPSD=050509,GPST=062839.000,LAT=6734.2506,NS=N,LONG=2642.9051,EW=E,T=0.78,U=87.0,T1=24.865,T2=25.048,T3=24.891,T4=24.805,UVB1=0.102,UVB2=0.005,UVB3=0.090,UVB4=0.007,SR4=571.860,SR5=136.266,SR6=939.320,SR7=140.860,AntHeight=322,GeoidHeight=22
2009.05.05 06:28:50,GPSD=050509,GPST=062849.000,LAT=6734.4749,NS=N,LONG=2643.0832,EW=E,T=0.76,U=86.9,T1=24.861,T2=25.204,T3=25.055,T4=24.774,UVB1=0.102,UVB2=0.003,UVB3=0.095,UVB4=0.006,SR4=571.860,SR5=138.563,SR6=1025.826,SR7=141.625,AntHeight=320,GeoidHeight=22
2009.05.05 06:29:00,GPSD=050509,GPST=062859.000,LAT=6734.6997,NS=N,LONG=2643.2436,EW=E,T=0.78,U=87.2,T1=24.861,T2=25.154,T3=25.112,T4=24.774,UVB1=0.094,UVB2=0.004,UVB3=0.092,UVB4=0.005,SR4=545.831,SR5=140.860,SR6=1049.558,SR7=143.156,AntHeight=323,GeoidHeight=22
2009.05.05 06:29:10,GPSD=050509,GPST=062909.000,LAT=6734.9253,NS=N,LONG=2643.3997,EW=E,T=0.78,U=87.2,T1=24.861,T2=24.891,T3=25.074,T4=25.293,UVB1=0.091,UVB2=0.005,UVB3=0.083,UVB4=0.015,SR4=670.615,SR5=136.266,SR6=939.320,SR7=139.329,AntHeight=325,GeoidHeight=22
2009.05.05 06:29:20,GPSD=050509,GPST=062919.000,LAT=6735.1519,NS=N,LONG=2643.5627,EW=E,T=0.76,U=87.4,T1=24.868,T2=24.838,T3=24.922,T4=25.354,UVB1=0.087,UVB2=0.005,UVB3=0.076,UVB4=0.015,SR4=806.881,SR5=169.185,SR6=1013.577,SR7=170.716,AntHeight=322,GeoidHeight=22
2009.05.05 06:29:30,GPSD=050509,GPST=062929.000,LAT=6735.3766,NS=N,LONG=2643.7053,EW=E,T=0.72,U=87.3,T1=24.876,T2=25.074,T3=24.784,T4=25.446,UVB1=0.086,UVB2=0.004,UVB3=0.070,UVB4=0.014,SR4=702.002,SR5=134.735,SR6=817.599,SR7=140.094,AntHeight=319,GeoidHeight=22
2009.05.05 06:29:40,GPSD=050509,GPST=062939.000,LAT=6735.6005,NS=N,LONG=2643.8213,EW=E,T=0.72,U=86.8,T1=24.887,T2=25.212,T3=24.880,T4=25.049,UVB1=0.101,UVB2=0.007,UVB3=0.086,UVB4=0.008,SR4=666.787,SR5=142.391,SR6=865.062,SR7=143.922,AntHeight=316,GeoidHeight=22
2009.05.05 06:29:50,GPSD=050509,GPST=062949.000,LAT=6735.8260,NS=N,LONG=2643.9196,EW=E,T=0.70,U=86.7,T1=24.899,T2=25.147,T3=25.036,T4=25.049,UVB1=0.101,UVB2=0.005,UVB3=0.093,UVB4=0.007,SR4=687.456,SR5=158.467,SR6=1077.883,SR7=154.639,AntHeight=321,GeoidHeight=22
2009.05.05 06:30:00,GPSD=050509,GPST=062959.000,LAT=6736.0516,NS=N,LONG=2644.0146,EW=E,T=0.70,U=86.6,T1=24.910,T2=24.872,T3=25.101,T4=24.988,UVB1=0.092,UVB2=0.006,UVB3=0.086,UVB4=0.007,SR4=660.662,SR5=187.558,SR6=1050.323,SR7=189.854,AntHeight=327,GeoidHeight=22
2009.05.05 06:30:10,GPSD=050509,GPST=063009.000,LAT=6736.2798,NS=N,LONG=2644.0879,EW=E,T=0.70,U=86.7,T1=24.922,T2=24.849,T3=25.082,T4=24.957,UVB1=0.087,UVB2=0.005,UVB3=0.079,UVB4=0.005,SR4=653.773,SR5=174.544,SR6=1031.185,SR7=177.606,AntHeight=327,GeoidHeight=22
2009.05.05 06:30:20,GPSD=050509,GPST=063019.000,LAT=6736.5176,NS=N,LONG=2644.1307,EW=E,T=0.74,U=87.0,T1=24.937,T2=25.090,T3=24.945,T4=24.866,UVB1=0.089,UVB2=0.005,UVB3=0.075,UVB4=0.007,SR4=718.078,SR5=179.902,SR6=896.449,SR7=182.199,AntHeight=334,GeoidHeight=22
